iter	MultiClass
0	1.527100364
1	1.437421683
2	1.355312656
3	1.279952284
4	1.206718115
5	1.13943943
6	1.077479179
7	1.020281921
8	0.9700131836
9	0.9207563118
10	0.8773045296
11	0.8345605426
12	0.7947123072
13	0.759379236
14	0.7244550279
15	0.6934154908
16	0.6626332465
17	0.6337269532
18	0.6065486171
19	0.5822861401
20	0.5581005487
21	0.5364849564
22	0.5148758621
23	0.4955463689
24	0.476169103
25	0.4588254005
26	0.4423589306
27	0.4274909983
28	0.4125846863
29	0.3975182339
30	0.3832045632
31	0.3704012828
32	0.3574166618
33	0.3458031577
34	0.3347200734
35	0.3246636573
36	0.3145206454
37	0.3048260364
38	0.2955553052
39	0.2866855379
40	0.2781953038
41	0.270064541
42	0.2622744519
43	0.2542498956
44	0.2471068805
45	0.2397315367
46	0.232667682
47	0.2258992051
48	0.2194109764
49	0.2131887778
50	0.2072192385
51	0.2014897757
52	0.1959885406
53	0.1910933047
54	0.1873430802
55	0.1827705799
56	0.1783652909
57	0.1741195848
58	0.1700262404
59	0.1662573955
60	0.1624408395
61	0.1587575675
62	0.1548804179
63	0.1511441117
64	0.1478430542
65	0.1446530731
66	0.1415694468
67	0.1385876893
68	0.1357035366
69	0.1329129342
70	0.129945682
71	0.1270792806
72	0.1245595403
73	0.1221185944
74	0.1195126549
75	0.1169923406
76	0.1147804391
77	0.1126352396
78	0.1103361155
79	0.1083216457
80	0.1063663069
81	0.1042638492
82	0.1024246751
83	0.1006380586
84	0.09890204798
85	0.09721477781
86	0.09538997485
87	0.09361957869
88	0.09207575302
89	0.09057376613
90	0.08911213137
91	0.08768942534
92	0.0861415116
93	0.08479593834
94	0.08348528139
95	0.0822083445
96	0.08096398073
97	0.07975109016
98	0.07856861766
99	0.0774155508
100	0.07629091789
101	0.07505482034
102	0.07398693831
103	0.0729447318
104	0.07192737637
105	0.07080495937
106	0.06983734232
107	0.06889222951
108	0.06784689863
109	0.06682796813
110	0.06595052267
111	0.06497857116
112	0.06414201834
113	0.0632141867
114	0.06230889785
115	0.061529936
116	0.06076780556
117	0.05992045024
118	0.05919221232
119	0.05838158977
120	0.05768524263
121	0.05700335815
122	0.05633552705
123	0.05568135431
124	0.05495013426
125	0.05432357607
126	0.05370953958
127	0.05310768223
128	0.0525176731
129	0.05193919238
130	0.05137193098
131	0.05081559007
132	0.05026988071
133	0.04973452347
134	0.04920924801
135	0.0486937928
136	0.04818790475
137	0.04769133888
138	0.04712941428
139	0.04665186874
140	0.04618293412
141	0.04565136279
142	0.0452000211
143	0.04475664539
144	0.04432104069
145	0.04389301799
146	0.04340619149
147	0.04299369946
148	0.04258823842
149	0.0421896416
150	0.04179774723
151	0.0414123983
152	0.04103344241
153	0.04060034988
154	0.04023453727
155	0.0398746718
156	0.03946280429
157	0.03911517945
158	0.03877309417
159	0.03843642489
160	0.03805027648
161	0.03772477342
162	0.03740432364
163	0.03708881708
164	0.03677814669
165	0.03647220837
166	0.03612007116
167	0.03582391556
168	0.03553218559
169	0.03524478819
170	0.03496163275
171	0.03468263108
172	0.03440769733
173	0.03413674786
174	0.03386970126
175	0.03360647818
176	0.03334700136
177	0.0330911955
178	0.03283898722
179	0.03254635456
180	0.03230162954
181	0.03206028479
182	0.03182225425
183	0.03154560678
184	0.0313144793
185	0.0310457547
186	0.0308212517
187	0.03059974203
188	0.03038116905
189	0.03016547751
190	0.02991414793
191	0.02970447061
192	0.02949751041
193	0.02929321729
194	0.02909154235
195	0.02889243787
196	0.02869585721
197	0.02850175485
198	0.02831008629
199	0.02812080805
200	0.02793387767
201	0.02771485299
202	0.02753284425
203	0.02735305652
204	0.02717545114
205	0.02696707211
206	0.02679404643
207	0.02659099459
208	0.02642238269
209	0.0262557633
210	0.02609110274
211	0.02592836809
212	0.02576752711
213	0.02560854827
214	0.02545140073
215	0.02529605427
216	0.02514247933
217	0.02499064699
218	0.0248405289
219	0.02469209734
220	0.02454532514
221	0.0244001857
222	0.02425665298
223	0.02411470145
224	0.02397430614
225	0.02383544254
226	0.02369808668
227	0.02356221505
228	0.02342780462
229	0.02329483281
230	0.0231632775
231	0.02300717216
232	0.02287861587
233	0.02275140934
234	0.0226255322
235	0.02250096444
236	0.02235293921
237	0.02223114694
238	0.02211060369
239	0.02199129103
240	0.02187319087
241	0.02175628544
242	0.02164055734
243	0.02152598949
244	0.02141256511
245	0.02130026776
246	0.02118908128
247	0.02107898983
248	0.02096997786
249	0.02086203009
250	0.02075513154
251	0.02064926748
252	0.02054442347
253	0.02044058532
254	0.0203377391
255	0.02023587111
256	0.02013496792
257	0.02003501634
258	0.01993600339
259	0.01983791633
260	0.01974074265
261	0.01964447006
262	0.01952893886
263	0.01943459114
264	0.01934110707
265	0.01924847522
266	0.01915668435
267	0.01906572341
268	0.01897558153
269	0.01888624806
270	0.01879771248
271	0.01870996447
272	0.0186229939
273	0.01853679078
274	0.01845134531
275	0.01836664784
276	0.01828268887
277	0.01819945908
278	0.01811694929
279	0.01803515046
280	0.01795405373
281	0.01787365034
282	0.0177939317
283	0.01771488936
284	0.01763651499
285	0.0175588004
286	0.01748173753
287	0.01740531846
288	0.01732953537
289	0.01725438058
290	0.01717984654
291	0.01710592579
292	0.01703261102
293	0.016959895
294	0.01688777063
295	0.01681623092
296	0.01674526899
297	0.01667487806
298	0.01660505145
299	0.01653578258
